Epoch,Train_Loss,Val_Loss,Val_PSNR
1,0.1350347878654366,0.1288449383340776,25.731370317935944
2,0.12003978009781112,0.11551412765402347,26.59486322402954
3,0.11460595095287199,0.11280922686564736,26.779229775071144
4,0.11141740093412607,0.11201458132709377,26.90074823796749
5,0.1102985275666351,0.11036758674308658,26.95308539569378
6,0.10878449480818665,0.10894247110700235,27.113117143511772
7,0.10872653129955996,0.1080707292247098,27.19953550696373
8,0.107681013190228,0.10742544061504304,27.18973681628704
9,0.10697111552176268,0.10730981634696946,27.18656172156334
10,0.10642235066903674,0.10809643064858392,27.19550014734268
11,0.10612402757548768,0.10687277167453431,27.23332488834858
12,0.1059413598931354,0.10634984088828787,27.310918349027634
13,0.1056029616166716,0.10571535610361024,27.304629188776016
14,0.10558241842233616,0.10555520714260638,27.324725461006164
15,0.10498529053900553,0.1049430018174462,27.36307242512703
16,0.10517228325100049,0.10575643538613803,27.297316536307335
17,0.10420958675120189,0.10510588802862912,27.418250238895418
18,0.10435757222382919,0.10469473335542716,27.36473023891449
19,0.10430370251769605,0.10454493968281894,27.399969419837
20,0.10387668182020603,0.10432544910581783,27.394749176502227
21,0.1037457580961611,0.10433663535513915,27.40527323782444
22,0.103315217193702,0.1041430712910369,27.396398824453353
23,0.10354215568336456,0.10421734842821025,27.405245614051818
24,0.10584517518139404,0.10653067248640583,27.271352127194405
25,0.10538168514714293,0.105461220536381,27.333619391918184
26,0.10513548889885778,0.10594267347478308,27.308891171216963
27,0.1044749147704114,0.10693675926886499,27.19302744269371
28,0.10395712975574577,0.10573012416716665,27.35823492705822
29,0.10404881741041723,0.10376652574632317,27.41737393438816
30,0.10373433123788108,0.10688015601481311,27.261339199543
31,0.10296725828362548,0.1042323846835643,27.405612978339196
32,0.10336923308508551,0.10358988040825352,27.489837372303008
33,0.10303399626003659,0.10322916976292618,27.44734332561493
34,0.10290794557203417,0.10487388877081685,27.45203942656517
35,0.10223724542428618,0.10316006321809254,27.488510531187057
36,0.10192086236632389,0.10302642526803538,27.50707466006279
37,0.1019763693375432,0.10304396895808168,27.504607999324797
38,0.10203975832656674,0.10276814356329851,27.529173347353936
39,0.10193303927941166,0.10271713329711929,27.497328406572343
40,0.10122188856096372,0.10278368953149766,27.52251415848732
41,0.10137969172843124,0.10278573714895174,27.48401106595993
42,0.10137046282382114,0.10257658361806535,27.511134088039398
43,0.10117083209688249,0.10247262111515738,27.518509298563004
44,0.10338522714117299,0.1048945871705655,27.367624002695084
45,0.10356905376133711,0.10410814234055579,27.410625705122946
46,0.10281306118096994,0.10436622715787962,27.448610496520995
47,0.1026344977805148,0.10336894528591074,27.53006728589535
48,0.10219682670481826,0.10295934242894873,27.5147367477417
49,0.1022284827640523,0.10482124700793065,27.422479477524757
50,0.10229795212331025,0.10341764840995893,27.477991229295732
51,0.10175997125713722,0.10235213586129248,27.555050832033157
52,0.1015160062390825,0.10351887424476444,27.474386566877364
53,0.10193015798602416,0.10329608971951529,27.529912900924682
54,0.1015890832018593,0.10366918588406407,27.441700482368468
55,0.1012763783092732,0.10252004885405767,27.582191523909568
56,0.10111687003594377,0.10211396351805888,27.521012806892394
57,0.10064654414258574,0.10177513847593218,27.586886146664618
58,0.10028355163724526,0.10208937430288642,27.55795750617981
59,0.10070258531233539,0.10183736409526319,27.56947438120842
60,0.09987622698687988,0.1018759217695333,27.566141012310982
